id,iridium_latitude,iridium_longitude,iridium_cep,raw_data,Human Time,altitude_barometer,altitude_gps,ballastPercent,ballastRemaining,ballast_time,batteryPercent,flightTime,imei,internal_temp,latitude,longitude,mission,momsn,pressure,timestamp,transmit_time,updated_at
18542,36.8636,-121.387,2,33302e372c2038383231342c20313135342c202033362e3836302c2d3132312e3338352c20313134362c3836,2019-05-18 10:25:07 -0700,1154,1146,-Inf,-86,86,,3307,300234067168910,30.7,36.86,-121.385,61,80,88214,Sat May 18 2019 10:25:07 GMT-0700 (Pacific Daylight Time),1558200307000,2019-05-18 10:25:11 -0700
18543,36.8523,-121.4253,9,33302e342c2038363637392c20313239382c202033362e3837352c2d3132312e3338332c20313239372c3836,2019-05-18 10:29:55 -0700,1298,1297,-Inf,-86,86,,3595,300234067168910,30.4,36.875,-121.383,61,81,86679,Sat May 18 2019 10:29:55 GMT-0700 (Pacific Daylight Time),1558200595000,2019-05-18 10:29:59 -0700
18544,36.9037,-121.3487,2,33302e332c2038343733342c20313438332c202033362e3839352c2d3132312e3337362c20313438322c3836,2019-05-18 10:34:53 -0700,1483,1482,-Inf,-86,86,,3893,300234067168910,30.3,36.895,-121.376,61,82,84734,Sat May 18 2019 10:34:53 GMT-0700 (Pacific Daylight Time),1558200893000,2019-05-18 10:34:59 -0700
18545,36.9222,-121.3721,8,33302e312c2038323734382c20313637362c202033362e3931352c2d3132312e3336332c20313636382c3836,2019-05-18 10:39:45 -0700,1676,1668,-Inf,-86,86,,4185,300234067168910,30.1,36.915,-121.363,61,83,82748,Sat May 18 2019 10:39:45 GMT-0700 (Pacific Daylight Time),1558201185000,2019-05-18 10:39:51 -0700
18546,36.9623,-121.3337,2,32392e392c2038303733302c20313837362c202033362e3933362c2d3132312e3334372c20313836322c3836,2019-05-18 10:44:40 -0700,1876,1862,-Inf,-86,86,,4480,300234067168910,29.9,36.936,-121.347,61,84,80730,Sat May 18 2019 10:44:40 GMT-0700 (Pacific Daylight Time),1558201480000,2019-05-18 10:44:46 -0700
18547,36.9623,-121.3337,8,32392e352c2037383930372c20323036302c202033362e3936312c2d3132312e3333312c20323034302c3836,2019-05-18 10:49:32 -0700,2060,2040,-Inf,-86,86,,4772,300234067168910,29.5,36.961,-121.331,61,85,78907,Sat May 18 2019 10:49:32 GMT-0700 (Pacific Daylight Time),1558201772000,2019-05-18 10:49:39 -0700
18548,37.0023,-121.2953,3,32392e302c2037373231342c20323233342c202033362e3938362c2d3132312e3331322c20323232372c3836,2019-05-18 10:54:37 -0700,2234,2227,-Inf,-86,86,,5077,300234067168910,29,36.986,-121.312,61,86,77214,Sat May 18 2019 10:54:37 GMT-0700 (Pacific Daylight Time),1558202077000,2019-05-18 10:54:42 -0700
18549,37.0136,-121.2569,8,32382e342c2037363032382c20323335382c202033372e3031332c2d3132312e3239332c20323336352c3836,2019-05-18 10:59:29 -0700,2358,2365,-Inf,-86,86,,5369,300234067168910,28.4,37.013,-121.293,61,87,76028,Sat May 18 2019 10:59:29 GMT-0700 (Pacific Daylight Time),1558202369000,2019-05-18 10:59:34 -0700
18550,37.0537,-121.2184,7,32372e372c2037333538342c20323631382c202033372e3034342c2d3132312e3237342c20323632322c3836,2019-05-18 11:04:22 -0700,2618,2622,-Inf,-86,86,,5662,300234067168910,27.7,37.044,-121.274,61,88,73584,Sat May 18 2019 11:04:22 GMT-0700 (Pacific Daylight Time),1558202662000,2019-05-18 11:04:27 -0700
18551,37.0591,-120.2305,112,32372e312c2037323933342c20323638392c202033372e3038352c2d3132312e3235352c20323635392c3836,2019-05-18 11:09:09 -0700,2689,2659,-Inf,-86,86,,5949,300234067168910,27.1,37.085,-121.255,61,89,72934,Sat May 18 2019 11:09:09 GMT-0700 (Pacific Daylight Time),1558202949000,2019-05-18 11:09:15 -0700
18552,37.1337,-121.1414,34,32362e352c2037303539302c20323934372c202033372e3132382c2d3132312e3233362c20323936312c3836,2019-05-18 11:13:58 -0700,2947,2961,-Inf,-86,86,,6238,300234067168910,26.5,37.128,-121.236,61,90,70590,Sat May 18 2019 11:13:58 GMT-0700 (Pacific Daylight Time),1558203238000,2019-05-18 11:14:03 -0700
18553,37.2017,-122.4643,112,32352e362c2036383534382c20333137372c202033372e3136392c2d3132312e3231352c20333138332c3836,2019-05-18 11:18:51 -0700,3177,3183,-Inf,-86,86,,6531,300234067168910,25.6,37.169,-121.215,61,91,68548,Sat May 18 2019 11:18:51 GMT-0700 (Pacific Daylight Time),1558203531000,2019-05-18 11:18:54 -0700
18554,37.2724,-122.5888,156,32342e332c2036363032352c20333437302c202033372e3230392c2d3132312e3139322c20333437332c3836,2019-05-18 11:23:43 -0700,3470,3473,-Inf,-86,86,,6823,300234067168910,24.3,37.209,-121.192,61,92,66025,Sat May 18 2019 11:23:43 GMT-0700 (Pacific Daylight Time),1558203823000,2019-05-18 11:23:46 -0700
18555,37.2358,-121.2499,3,32322e352c2036323030312c20333935362c202033372e3234372c2d3132312e3137352c20333932362c3836,2019-05-18 11:28:30 -0700,3956,3926,-Inf,-86,86,,7110,300234067168910,22.5,37.247,-121.175,61,93,62001,Sat May 18 2019 11:28:30 GMT-0700 (Pacific Daylight Time),1558204110000,2019-05-18 11:28:34 -0700
18556,37.2871,-121.1728,14,32302e392c2036303737362c20343130392c202033372e3238382c2d3132312e3134392c20343134382c3836,2019-05-18 11:33:27 -0700,4109,4148,-Inf,-86,86,,7407,300234067168910,20.9,37.288,-121.149,61,94,60776,Sat May 18 2019 11:33:27 GMT-0700 (Pacific Daylight Time),1558204407000,2019-05-18 11:33:30 -0700
18557,37.3272,-121.1341,2,32302e332c2035393231382c20343330372c202033372e3333302c2d3132312e3130302c20343333322c3836,2019-05-18 11:38:15 -0700,4307,4332,-Inf,-86,86,,7695,300234067168910,20.3,37.33,-121.1,61,95,59218,Sat May 18 2019 11:38:15 GMT-0700 (Pacific Daylight Time),1558204695000,2019-05-18 11:38:18 -0700
18558,37.3709,-120.9947,8,32302e392c2035383738302c20343336332c202033372e3337382c2d3132312e3034322c20343433302c3836,2019-05-18 11:43:44 -0700,4363,4430,-Inf,-86,86,,8024,300234067168910,20.9,37.378,-121.042,61,96,58780,Sat May 18 2019 11:43:44 GMT-0700 (Pacific Daylight Time),1558205024000,2019-05-18 11:43:51 -0700
18559,37.4183,-121.018,2,32302e362c2036303330342c20343136392c202033372e3431372c2d3132302e3939372c20343234332c3836,2019-05-18 11:48:32 -0700,4169,4243,-Inf,-86,86,,8312,300234067168910,20.6,37.417,-120.997,61,97,60304,Sat May 18 2019 11:48:32 GMT-0700 (Pacific Daylight Time),1558205312000,2019-05-18 11:48:39 -0700
18560,37.4507,-120.9172,6,31392e312c2036353838332c20333438372c202033372e3436322c2d3132302e3937302c20333635332c3836,2019-05-18 11:53:21 -0700,3487,3653,-Inf,-86,86,,8601,300234067168910,19.1,37.462,-120.97,61,98,65883,Sat May 18 2019 11:53:21 GMT-0700 (Pacific Daylight Time),1558205601000,2019-05-18 11:53:27 -0700
18561,37.4982,-120.9405,2,31372e372c2037303136312c20323939352c202033372e3530352c2d3132302e3935352c20333036372c3836,2019-05-18 11:58:16 -0700,2995,3067,-Inf,-86,86,,8896,300234067168910,17.7,37.505,-120.955,61,99,70161,Sat May 18 2019 11:58:16 GMT-0700 (Pacific Daylight Time),1558205896000,2019-05-18 11:58:23 -0700
18562,37.5569,-120.9249,4,31372e302c2037323838302c20323639342c202033372e3534382c2d3132302e3934372c20323733322c3836,2019-05-18 12:03:20 -0700,2694,2732,-Inf,-86,86,,9200,300234067168910,17,37.548,-120.947,61,100,72880,Sat May 18 2019 12:03:20 GMT-0700 (Pacific Daylight Time),1558206200000,2019-05-18 12:03:29 -0700
18563,37.5855,-120.9249,3,31362e362c2037363631302c20323239372c202033372e3538332c2d3132302e3934332c20323338302c3836,2019-05-18 12:08:12 -0700,2297,2380,-Inf,-86,86,,9492,300234067168910,16.6,37.583,-120.943,61,101,76610,Sat May 18 2019 12:08:12 GMT-0700 (Pacific Daylight Time),1558206492000,2019-05-18 12:08:19 -0700
18564,37.6043,-120.9482,3,31362e362c2037393036312c20323034342c202033372e3631302c2d3132302e3933332c20323131302c3836,2019-05-18 12:13:09 -0700,2044,2110,-Inf,-86,86,,9789,300234067168910,16.6,37.61,-120.933,61,102,79061,Sat May 18 2019 12:13:09 GMT-0700 (Pacific Daylight Time),1558206789000,2019-05-18 12:13:14 -0700
18565,37.6442,-120.9093,4,31372e302c2038323238352c20313732322c202033372e3633372c2d3132302e3932362c20313737382c3836,2019-05-18 12:18:09 -0700,1722,1778,-Inf,-86,86,,10089,300234067168910,17,37.637,-120.926,61,103,82285,Sat May 18 2019 12:18:09 GMT-0700 (Pacific Daylight Time),1558207089000,2019-05-18 12:18:15 -0700
18566,37.6442,-120.9093,4,31372e372c2038353034362c20313435332c202033372e3636342c2d3132302e3931352c20313439322c3836,2019-05-18 12:23:08 -0700,1453,1492,-Inf,-86,86,,10388,300234067168910,17.7,37.664,-120.915,61,104,85046,Sat May 18 2019 12:23:08 GMT-0700 (Pacific Daylight Time),1558207388000,2019-05-18 12:23:14 -0700
18567,37.6841,-120.8704,5,31382e362c2038363434392c20313331392c202033372e3638392c2d3132302e3931302c20313335352c313032,2019-05-18 12:28:12 -0700,1319,1355,-Inf,-102,102,,10692,300234067168910,18.6,37.689,-120.91,61,105,86449,Sat May 18 2019 12:28:12 GMT-0700 (Pacific Daylight Time),1558207692000,2019-05-18 12:28:19 -0700
18568,37.703,-120.8937,5,31392e352c2038373830382c20313139322c202033372e3731332c2d3132302e3930382c20313232302c313032,2019-05-18 12:33:03 -0700,1192,1220,-Inf,-102,102,,10983,300234067168910,19.5,37.713,-120.908,61,106,87808,Sat May 18 2019 12:33:03 GMT-0700 (Pacific Daylight Time),1558207983000,2019-05-18 12:33:10 -0700
18569,37.7315,-120.8937,2,32302e372c2038373233352c20313234352c202033372e3733352c2d3132302e3930362c20313234352c313037,2019-05-18 12:38:00 -0700,1245,1245,-Inf,-107,107,,11280,300234067168910,20.7,37.735,-120.906,61,107,87235,Sat May 18 2019 12:38:00 GMT-0700 (Pacific Daylight Time),1558208280000,2019-05-18 12:38:07 -0700
18570,37.76,-120.8937,4,32312e362c2038353533342c20313430362c202033372e3735382c2d3132302e3930302c20313338342c313037,2019-05-18 12:42:53 -0700,1406,1384,-Inf,-107,107,,11573,300234067168910,21.6,37.758,-120.9,61,108,85534,Sat May 18 2019 12:42:53 GMT-0700 (Pacific Daylight Time),1558208573000,2019-05-18 12:42:59 -0700
18571,37.7903,-120.878,2,32322e312c2038333635392c20313538372c202033372e3738332c2d3132302e3839362c20313536392c313037,2019-05-18 12:47:46 -0700,1587,1569,-Inf,-107,107,,11866,300234067168910,22.1,37.783,-120.896,61,109,83659,Sat May 18 2019 12:47:46 GMT-0700 (Pacific Daylight Time),1558208866000,2019-05-18 12:47:51 -0700
18572,37.8075,-120.917,11,32322e322c2038313530312c20313739392c202033372e3830382c2d3132302e3838392c20313830382c313037,2019-05-18 12:52:40 -0700,1799,1808,-Inf,-107,107,,12160,300234067168910,22.2,37.808,-120.889,61,110,81501,Sat May 18 2019 12:52:40 GMT-0700 (Pacific Daylight Time),1558209160000,2019-05-18 12:52:47 -0700
18573,37.8302,-120.839,2,32322e332c2038303736332c20313837332c202033372e3833362c2d3132302e3838302c20313837392c313037,2019-05-18 12:57:27 -0700,1873,1879,-Inf,-107,107,,12447,300234067168910,22.3,37.836,-120.88,61,111,80763,Sat May 18 2019 12:57:27 GMT-0700 (Pacific Daylight Time),1558209447000,2019-05-18 12:57:30 -0700
18574,37.8663,-120.9013,14,32322e342c2037383532302c20323130302c202033372e3836342c2d3132302e3837362c20323039312c313037,2019-05-18 13:02:19 -0700,2100,2091,-Inf,-107,107,,12739,300234067168910,22.4,37.864,-120.876,61,112,78520,Sat May 18 2019 13:02:19 GMT-0700 (Pacific Daylight Time),1558209739000,2019-05-18 13:02:27 -0700
18575,37.9175,-120.8232,4,32322e322c2037363131342c20323334392c202033372e3839332c2d3132302e3837332c20323333342c313037,2019-05-18 13:07:11 -0700,2349,2334,-Inf,-107,107,,13031,300234067168910,22.2,37.893,-120.873,61,113,76114,Sat May 18 2019 13:07:11 GMT-0700 (Pacific Daylight Time),1558210031000,2019-05-18 13:07:15 -0700
18576,37.9224,-119.7223,137,32312e372c2037333937302c20323537372c202033372e3932332c2d3132302e3836392c20323536382c313037,2019-05-18 13:12:00 -0700,2577,2568,-Inf,-107,107,,13320,300234067168910,21.7,37.923,-120.869,61,114,73970,Sat May 18 2019 13:12:00 GMT-0700 (Pacific Daylight Time),1558210320000,2019-05-18 13:12:07 -0700
18577,37.9334,-119.6827,110,32312e332c2037313138362c20323838302c202033372e3935362c2d3132302e3836312c20323835302c313037,2019-05-18 13:16:54 -0700,2880,2850,-Inf,-107,107,,13614,300234067168910,21.3,37.956,-120.861,61,115,71186,Sat May 18 2019 13:16:54 GMT-0700 (Pacific Daylight Time),1558210614000,2019-05-18 13:16:58 -0700
18578,38.0155,-121.9957,122,32302e342c2036373834342c20333235382c202033372e3939342c2d3132302e3835392c20333232362c313037,2019-05-18 13:21:43 -0700,3258,3226,-Inf,-107,107,,13903,300234067168910,20.4,37.994,-120.859,61,116,67844,Sat May 18 2019 13:21:43 GMT-0700 (Pacific Daylight Time),1558210903000,2019-05-18 13:21:47 -0700
18579,38.0408,-120.87,6,32302e312c2036363134362c20333435362c202033382e3033372c2d3132302e3836322c20333433312c313037,2019-05-18 13:26:31 -0700,3456,3431,-Inf,-107,107,,14191,300234067168910,20.1,38.037,-120.862,61,117,66146,Sat May 18 2019 13:26:31 GMT-0700 (Pacific Daylight Time),1558211191000,2019-05-18 13:26:39 -0700
18580,38.0883,-120.8933,6,32302e342c2036363738392c20333338302c202033382e3038322c2d3132302e3836382c20333433312c313037,2019-05-18 13:31:19 -0700,3380,3431,-Inf,-107,107,,14479,300234067168910,20.4,38.082,-120.868,61,118,66789,Sat May 18 2019 13:31:19 GMT-0700 (Pacific Daylight Time),1558211479000,2019-05-18 13:31:23 -0700
18581,38.128,-120.8542,11,31382e362c2037333331332c20323634372c202033382e3132362c2d3132302e3837322c20323733382c313037,2019-05-18 13:36:46 -0700,2647,2738,-Inf,-107,107,,14806,300234067168910,18.6,38.126,-120.872,61,119,73313,Sat May 18 2019 13:36:46 GMT-0700 (Pacific Daylight Time),1558211806000,2019-05-18 13:36:51 -0700
18582,38.1472,-120.8776,3,31372e312c2037373839322c20323136342c202033382e3135372c2d3132302e3837352c20323230362c313037,2019-05-18 13:41:34 -0700,2164,2206,-Inf,-107,107,,15094,300234067168910,17.1,38.157,-120.875,61,120,77892,Sat May 18 2019 13:41:34 GMT-0700 (Pacific Daylight Time),1558212094000,2019-05-18 13:41:39 -0700
18583,38.1946,-120.9011,9,31362e362c2038313535342c20313739342c202033382e3138332c2d3132302e3837392c20313835342c313037,2019-05-18 13:46:30 -0700,1794,1854,-Inf,-107,107,,15390,300234067168910,16.6,38.183,-120.879,61,121,81554,Sat May 18 2019 13:46:30 GMT-0700 (Pacific Daylight Time),1558212390000,2019-05-18 13:46:35 -0700
18584,38.2061,-120.8618,2,31362e372c2038363237302c20313333362c202033382e3230372c2d3132302e3837392c20313430342c313037,2019-05-18 13:51:19 -0700,1336,1404,-Inf,-107,107,,15679,300234067168910,16.7,38.207,-120.879,61,122,86270,Sat May 18 2019 13:51:19 GMT-0700 (Pacific Daylight Time),1558212679000,2019-05-18 13:51:23 -0700
18585,38.2344,-120.8618,4,31372e322c2039303539302c20203933352c202033382e3232382c2d3132302e3837362c20313034382c313233,2019-05-18 13:56:32 -0700,935,1048,-Inf,-123,123,,15992,300234067168910,17.2,38.228,-120.876,61,123,90590,Sat May 18 2019 13:56:32 GMT-0700 (Pacific Daylight Time),1558212992000,2019-05-18 13:56:39 -0700
18586,38.2344,-120.8618,2,31382e312c2039313936382c20203831302c202033382e3234302c2d3132302e3836322c20203831382c313233,2019-05-18 14:01:24 -0700,810,818,-Inf,-123,123,,16284,300234067168910,18.1,38.24,-120.862,61,124,91968,Sat May 18 2019 14:01:24 GMT-0700 (Pacific Daylight Time),1558213284000,2019-05-18 14:02:15 -0700
18587,38.2933,-120.846,3,31392e302c2039333835302c20203634322c202033382e3235362c2d3132302e3834332c20203639302c313535,2019-05-18 14:06:15 -0700,642,690,-Inf,-155,155,,16575,300234067168910,19,38.256,-120.843,61,125,93850,Sat May 18 2019 14:06:15 GMT-0700 (Pacific Daylight Time),1558213575000,2019-05-18 14:06:19 -0700
18588,38.2741,-120.8226,2,32302e302c2039363834362c20203338302c202033382e3236392c2d3132302e3832312c20203431392c313535,2019-05-18 14:10:59 -0700,380,419,-Inf,-155,155,,16859,300234067168910,20,38.269,-120.821,61,126,96846,Sat May 18 2019 14:10:59 GMT-0700 (Pacific Daylight Time),1558213859000,2019-05-18 14:11:06 -0700
18589,38.2741,-120.8226,3,32312e312c2039373330352c20203334302c202033382e3237372c2d3132302e3739392c20203335312c313731,2019-05-18 14:16:12 -0700,340,351,-Inf,-171,171,,17172,300234067168910,21.1,38.277,-120.799,61,127,97305,Sat May 18 2019 14:16:12 GMT-0700 (Pacific Daylight Time),1558214172000,2019-05-18 14:16:19 -0700
18590,38.2664,-120.7599,3,32312e392c2039353836372c20203436352c202033382e3238332c2d3132302e3737362c20203435302c313837,2019-05-18 14:21:14 -0700,465,450,-Inf,-187,187,,17474,300234067168910,21.9,38.283,-120.776,61,128,95867,Sat May 18 2019 14:21:14 GMT-0700 (Pacific Daylight Time),1558214474000,2019-05-18 14:21:19 -0700
18591,38.2778,-120.7206,4,32322e312c2039333437342c20203637362c202033382e3238392c2d3132302e3735372c20203630392c313932,2019-05-18 14:26:13 -0700,676,609,-Inf,-192,192,,17773,300234067168910,22.1,38.289,-120.757,61,129,93474,Sat May 18 2019 14:26:13 GMT-0700 (Pacific Daylight Time),1558214773000,2019-05-18 14:26:19 -0700
18592,38.2778,-120.7206,4,32312e392c2039303536382c20203933372c202033382e3330362c2d3132302e3733392c20203932372c313932,2019-05-18 14:31:05 -0700,937,927,-Inf,-192,192,,18065,300234067168910,21.9,38.306,-120.739,61,130,90568,Sat May 18 2019 14:31:05 GMT-0700 (Pacific Daylight Time),1558215065000,2019-05-18 14:31:14 -0700
18593,38.3061,-120.7206,4,32312e352c2038383131352c20313136332c202033382e3332322c2d3132302e3732302c20313134322c313932,2019-05-18 14:35:59 -0700,1163,1142,-Inf,-192,192,,18359,300234067168910,21.5,38.322,-120.72,61,131,88115,Sat May 18 2019 14:35:59 GMT-0700 (Pacific Daylight Time),1558215359000,2019-05-18 14:36:02 -0700
18594,38.3367,-120.7046,2,32302e372c2038363836302c20313238312c202033382e3333372c2d3132302e3730352c20313332302c313932,2019-05-18 14:41:43 -0700,1281,1320,-Inf,-192,192,,18703,300234067168910,20.7,38.337,-120.705,61,132,86860,Sat May 18 2019 14:41:43 GMT-0700 (Pacific Daylight Time),1558215703000,2019-05-18 14:41:47 -0700
18595,38.3764,-120.6653,11,31392e362c2039323832352c20203733332c202033382e3335332c2d3132302e3638332c20203838312c313932,2019-05-18 14:46:29 -0700,733,881,-Inf,-192,192,,18989,300234067168910,19.6,38.353,-120.683,61,133,92825,Sat May 18 2019 14:46:29 GMT-0700 (Pacific Daylight Time),1558215989000,2019-05-18 14:46:35 -0700
18596,38.3764,-120.6653,2,31392e342c2039343936312c20203534342c202033382e3335362c2d3132302e3637352c20203536312c313932,2019-05-18 14:51:20 -0700,544,561,-Inf,-192,192,,19280,300234067168910,19.4,38.356,-120.675,61,134,94961,Sat May 18 2019 14:51:20 GMT-0700 (Pacific Daylight Time),1558216280000,2019-05-18 14:51:26 -0700
18597,38.365,-120.7046,2,2d3133342e382c3131393939322c2d313435302c202033382e3335362c2d3132302e3637352c20203535392c323038,2019-05-18 14:59:43 -0700,-1450,559,-Inf,-208,208,,19783,300234067168910,-134.8,38.356,-120.675,61,135,119992,Sat May 18 2019 14:59:43 GMT-0700 (Pacific Daylight Time),1558216783000,2019-05-18 14:59:47 -0700
18598,38.3686,-120.6025,15,2d3133342e382c3131393939322c2d313435302c202033382e3335362c2d3132302e3637352c20203535392c323038,2019-05-18 15:05:43 -0700,-1450,559,-Inf,-208,208,,20143,300234067168910,-134.8,38.356,-120.675,61,136,119992,Sat May 18 2019 15:05:43 GMT-0700 (Pacific Daylight Time),1558217143000,2019-05-18 15:05:47 -0700
18599,38.3873,-119.2504,178,2d3133342e382c3131393939322c2d313435302c202033382e3335362c2d3132302e3637352c20203535392c323038,2019-05-18 15:13:38 -0700,-1450,559,-Inf,-208,208,,20618,300234067168910,-134.8,38.356,-120.675,61,137,119992,Sat May 18 2019 15:13:38 GMT-0700 (Pacific Daylight Time),1558217618000,2019-05-18 15:13:43 -0700
18600,38.3686,-120.6025,6,2d3133342e382c3131393939322c2d313435302c202033382e3335362c2d3132302e3637352c20203535392c323430,2019-05-18 15:19:03 -0700,-1450,559,-Inf,-240,240,,20943,300234067168910,-134.8,38.356,-120.675,61,138,119992,Sat May 18 2019 15:19:03 GMT-0700 (Pacific Daylight Time),1558217943000,2019-05-18 15:19:07 -0700
18601,38.3683,-121.4035,108,2d3133342e382c3131393939322c2d313435302c202033382e3335362c2d3132302e3637352c20203535392c323430,2019-05-18 15:25:01 -0700,-1450,559,-Inf,-240,240,,21301,300234067168910,-134.8,38.356,-120.675,61,139,119992,Sat May 18 2019 15:25:01 GMT-0700 (Pacific Daylight Time),1558218301000,2019-05-18 15:25:07 -0700
18602,38.38,-121.3644,80,2d3133342e382c3131393939322c2d313435302c202033382e3335362c2d3132302e3637352c20203535392c323430,2019-05-18 15:29:59 -0700,-1450,559,-Inf,-240,240,,21599,300234067168910,-134.8,38.356,-120.675,61,140,119992,Sat May 18 2019 15:29:59 GMT-0700 (Pacific Daylight Time),1558218599000,2019-05-18 15:30:07 -0700
18603,38.3764,-120.6653,8,2d3133342e382c3131393939322c2d313435302c202033382e3335362c2d3132302e3637352c20203535392c323430,2019-05-18 15:34:42 -0700,-1450,559,-Inf,-240,240,,21582,300234067168910,-134.8,38.356,-120.675,61,141,119992,Sat May 18 2019 15:34:42 GMT-0700 (Pacific Daylight Time),1558218882000,2019-05-18 15:34:46 -0700
18604,38.365,-120.7046,8,2d3133342e382c3131393939322c2d313435302c202033382e3335362c2d3132302e3637352c20203535392c323430,2019-05-18 15:39:34 -0700,-1450,559,-Inf,-240,240,,21874,300234067168910,-134.8,38.356,-120.675,61,142,119992,Sat May 18 2019 15:39:34 GMT-0700 (Pacific Daylight Time),1558219174000,2019-05-18 15:39:39 -0700
18605,38.3764,-120.6653,4,2d3133342e382c3131393939322c2d313435302c202033382e3335362c2d3132302e3637352c20203535392c323430,2019-05-18 15:44:29 -0700,-1450,559,-Inf,-240,240,,22169,300234067168910,-134.8,38.356,-120.675,61,143,119992,Sat May 18 2019 15:44:29 GMT-0700 (Pacific Daylight Time),1558219469000,2019-05-18 15:44:35 -0700
18606,38.3367,-120.7046,7,2d3133342e382c3131393939322c2d313435302c202033382e3335362c2d3132302e3637352c20203535392c323430,2019-05-18 15:49:21 -0700,-1450,559,-Inf,-240,240,,22461,300234067168910,-134.8,38.356,-120.675,61,144,119992,Sat May 18 2019 15:49:21 GMT-0700 (Pacific Daylight Time),1558219761000,2019-05-18 15:49:26 -0700
18607,38.3764,-120.6653,3,2d3133342e382c3131393939322c2d313435302c202033382e3335362c2d3132302e3637352c20203535392c323430,2019-05-18T15:54:08.000-07:00,-1450,559,-Inf,-240,240,,22748,300234067168910,-134.8,38.356,-120.675,61,145,119992,Sat May 18 2019 15:54:08 GMT-0700 (Pacific Daylight Time),1558220048000,2019-05-18T15:54:15.182-07:00
